,concat_emb1,concat_emb2,concat_emb3,concat_emb4,concat_emb5,concat_emb6,concat_emb7,concat_emb8,concat_emb9,concat_emb10,concat_emb11,concat_emb12,concat_emb13,concat_emb14,concat_emb15,concat_emb16,concat_emb17,concat_emb18,concat_emb19,concat_emb20,concat_emb21,concat_emb22,concat_emb23,concat_emb24,concat_emb25,concat_emb26,concat_emb27,concat_emb28,concat_emb29,concat_emb30,concat_emb31,concat_emb32
2022-02-01 00:00:00,-0.04930453,0.0013988301,0.044537257,-0.14682166,0.09699571,-0.073677965,-0.012929074,-0.19637541,-0.09655297,0.06438216,-0.085734814,0.0018791349,-0.13266933,0.067889765,0.0027048814,0.034711104,0.16524476,-0.07879244,0.05506354,-0.039232973,-0.06842802,0.075899884,-0.06526921,0.114641026,-0.26721147,-0.09334501,0.10393157,0.11049134,0.009037985,-0.011330568,-0.103676684,0.018250339
2022-02-01 00:00:04,-0.045279868,0.003536627,0.045840874,-0.13885884,0.10029921,-0.07962112,-0.0123692835,-0.20193066,-0.10165138,0.07266969,-0.069583185,0.008102113,-0.11592114,0.063188545,0.0074470774,0.050044827,0.1690936,-0.058070444,0.06093619,-0.036622673,-0.06425746,0.0708622,-0.06369436,0.12877576,-0.26499367,-0.10359301,0.12015329,0.10191205,0.00046866655,-0.015034428,-0.1116434,0.006479477
2022-02-01 00:00:08,-0.044269133,-0.0010221392,0.04997312,-0.14469804,0.10455436,-0.0766973,-0.016383126,-0.19658169,-0.09422361,0.0723793,-0.061437663,0.0074821124,-0.12096903,0.06418791,0.011534138,0.056945823,0.158114,-0.0638857,0.07179018,-0.03456557,-0.0634067,0.069805145,-0.066697024,0.12467022,-0.27008727,-0.10340073,0.1133372,0.0961195,-0.0029364673,-0.016349202,-0.117673956,0.010608191
2022-02-01 00:00:12,-0.04486628,-0.0070080287,0.054478124,-0.15012191,0.09637671,-0.07871029,-0.019252902,-0.20061484,-0.09685766,0.06314723,-0.06886564,0.010264423,-0.12629169,0.069450736,0.010344542,0.046954848,0.16864184,-0.06324665,0.06273901,-0.036022596,-0.059387628,0.07418811,-0.06421128,0.12343894,-0.26911846,-0.09946711,0.112145334,0.10696761,-0.004223575,-0.024532251,-0.10979574,0.0054647955
2022-02-01 00:00:16,-0.043591384,-0.0079655945,0.052441657,-0.15218902,0.08713946,-0.07844477,-0.023197379,-0.20834666,-0.10173551,0.06430806,-0.062539004,0.009759605,-0.12514544,0.068948925,0.012273709,0.04455969,0.17167681,-0.06680364,0.058386583,-0.03881269,-0.061370302,0.078600764,-0.06313711,0.12660244,-0.27689347,-0.09710396,0.120525435,0.113399655,-0.0065811137,-0.027529221,-0.119513586,0.0011850053
2022-02-01 00:00:20,-0.044082347,-0.0050430214,0.0538708,-0.14553553,0.09660523,-0.083176084,-0.019517504,-0.20705925,-0.09905594,0.0631849,-0.061705284,0.008141351,-0.12300714,0.06649296,0.008429038,0.043760117,0.169756,-0.056447178,0.055302855,-0.039506365,-0.059745833,0.07585957,-0.06060955,0.12948878,-0.26900455,-0.10196301,0.11836534,0.11293748,-0.008786384,-0.023811517,-0.10478777,0.0032627427
2022-02-01 00:00:24,-0.04526252,-0.0066896114,0.05500528,-0.14332613,0.09453552,-0.08004965,-0.018350592,-0.20359579,-0.09759353,0.06592845,-0.0643221,0.010573917,-0.11750931,0.06498491,0.01416684,0.0460146,0.17054017,-0.046109717,0.059453625,-0.03436637,-0.05652238,0.070535436,-0.06004684,0.12928987,-0.2613314,-0.10326908,0.116685845,0.10386789,-0.003718767,-0.026007017,-0.10036106,-0.0029936836
2022-02-01 00:00:28,-0.052239135,0.0027439133,0.05016925,-0.15348062,0.08905598,-0.07329662,-0.017014155,-0.19210184,-0.10166866,0.06900664,-0.07622882,0.008956312,-0.12668867,0.07137848,0.011389097,0.048158642,0.16738197,-0.08537123,0.06833349,-0.0337892,-0.06800917,0.07537991,-0.067163475,0.1138043,-0.27664942,-0.0991485,0.11185723,0.09553165,0.007030052,-0.022852138,-0.119903244,0.010023369
2022-02-01 00:00:32,-0.047108434,0.0010753731,0.05052361,-0.14706738,0.09887975,-0.07769301,-0.0133850705,-0.19384931,-0.102075435,0.06655081,-0.07882455,0.010942575,-0.12275437,0.0709564,0.007338754,0.048851244,0.16924444,-0.06696746,0.06496741,-0.03636448,-0.062431376,0.0712916,-0.065922655,0.12045829,-0.26471403,-0.10122218,0.11091344,0.09927022,0.0028415876,-0.019779183,-0.10658989,0.009198124
2022-02-01 00:00:36,-0.04823893,0.0040760627,0.04964002,-0.14686094,0.099300794,-0.07795504,-0.012337139,-0.19383468,-0.103282765,0.06779214,-0.079699695,0.010126897,-0.12177857,0.07130009,0.005586527,0.050244346,0.17127079,-0.07200327,0.064991124,-0.03643831,-0.06441628,0.07209096,-0.067077465,0.12049548,-0.26621142,-0.10164708,0.11174631,0.09793647,0.00376885,-0.018645003,-0.111616604,0.011205578
