,concat_emb1,concat_emb2,concat_emb3,concat_emb4,concat_emb5,concat_emb6,concat_emb7,concat_emb8,concat_emb9,concat_emb10,concat_emb11,concat_emb12,concat_emb13,concat_emb14,concat_emb15,concat_emb16,concat_emb17,concat_emb18,concat_emb19,concat_emb20,concat_emb21,concat_emb22,concat_emb23,concat_emb24,concat_emb25,concat_emb26,concat_emb27,concat_emb28,concat_emb29,concat_emb30,concat_emb31,concat_emb32
2022-01-01 00:00:00,0.025712064,-0.14802143,-0.018815547,0.024457783,-0.09767036,0.08055787,-0.028627077,-0.15800768,-0.085572034,0.09158813,-0.03916456,0.1814316,0.083126396,-0.024260232,-0.18644038,0.19482464,0.076060206,-0.17979857,-0.078985475,-0.027873129,0.062334612,-0.014556699,0.14529188,0.13785185,-0.13766214,0.051408235,-0.20387395,-0.12845378,0.022482447,-0.0074110534,-0.011938923,-0.12167269
2022-01-01 00:00:04,0.0070977537,-0.15286064,-0.026519785,0.009310821,-0.08382822,0.079895064,-0.022634374,-0.1468491,-0.08986656,0.103487104,-0.05494611,0.19132122,0.08698264,-0.027942322,-0.179322,0.20520593,0.08457678,-0.17494938,-0.07683905,-0.028919056,0.062345184,-0.008194995,0.14761145,0.12816067,-0.12543108,0.045352247,-0.20323475,-0.1321014,0.029660465,-0.0029919306,-0.011132681,-0.14161888
2022-01-01 00:00:08,0.017474571,-0.1542837,-0.019216895,0.015390765,-0.090104915,0.082843795,-0.021356987,-0.14440024,-0.09825623,0.101110786,-0.045496892,0.19299173,0.082220286,-0.028246611,-0.18297689,0.2069645,0.07640706,-0.18346198,-0.0773955,-0.025613418,0.06397692,-0.011507597,0.14585409,0.12797523,-0.12564088,0.05206447,-0.20604427,-0.13524844,0.028693963,0.00014345367,-0.0051790783,-0.1357664
2022-01-01 00:00:12,0.049457222,-0.14192027,-0.012296701,0.018949036,-0.14349903,0.11413537,-0.031459965,-0.16856892,-0.08235544,0.09234832,-0.002161395,0.18375552,0.08384595,-0.014440888,-0.22579974,0.19478974,0.06649493,-0.17704858,-0.08812794,-0.009620591,0.04745871,-0.023335647,0.1347367,0.12733527,-0.14119251,0.070763946,-0.20752324,-0.13039774,0.006962899,0.0036584442,0.016051425,-0.120061435
2022-01-01 00:00:16,0.051669475,-0.17677218,-0.01708898,0.04262725,-0.12392299,0.07674924,-0.021106767,-0.15936789,-0.10005871,0.09969065,-0.033051457,0.18439603,0.08440318,-0.026628863,-0.20646644,0.21592034,0.08118981,-0.20148784,-0.09245623,-0.038246874,0.07357796,-0.0075193336,0.16847414,0.13137229,-0.14322275,0.06478961,-0.22105941,-0.14569725,0.023679787,0.010303736,-0.002694999,-0.1487059
2022-01-01 00:00:20,0.040048357,-0.17036217,-0.014878785,0.0379539,-0.09992462,0.09593963,-0.020684112,-0.14302027,-0.104111,0.089259855,-0.033655133,0.18996243,0.079404734,-0.03676045,-0.18304345,0.20881312,0.06334414,-0.18922472,-0.08031285,-0.023886373,0.07122698,-0.014365996,0.13906558,0.12989178,-0.12905958,0.059193432,-0.20757993,-0.14598045,0.029905343,0.0059913164,0.0025366466,-0.12420555
2022-01-01 00:00:24,0.028152075,-0.15214938,-0.018068759,0.027672097,-0.09863694,0.08153352,-0.027743908,-0.15511522,-0.08845425,0.09358095,-0.040771656,0.18094485,0.082741015,-0.025043258,-0.18806556,0.19711618,0.07570472,-0.18266635,-0.07886754,-0.031035539,0.06529702,-0.012295513,0.14682904,0.13732089,-0.13817991,0.051955167,-0.20515288,-0.13087681,0.023840295,-0.004500628,-0.0103018,-0.1253974
2022-01-01 00:00:28,0.016804632,-0.14527749,-0.023722,0.015441192,-0.09381742,0.08132944,-0.026640145,-0.16027696,-0.08370217,0.097507335,-0.04108925,0.18718214,0.089702934,-0.022010377,-0.18525705,0.1949202,0.08364071,-0.172854,-0.08289874,-0.025244733,0.057574116,-0.015440538,0.14665878,0.13540739,-0.13306414,0.048650112,-0.20497753,-0.12617874,0.022126565,-0.009503579,-0.013299408,-0.12353355
2022-01-01 00:00:32,0.036547367,-0.15446694,-0.013779993,0.03528888,-0.11253957,0.10018347,-0.02745916,-0.14914952,-0.09770371,0.098747514,-0.026483761,0.18138595,0.08245897,-0.021959452,-0.1943578,0.1946388,0.07366317,-0.1851701,-0.08364032,-0.032486487,0.06510858,-0.011402015,0.14262569,0.13950004,-0.13988252,0.05752274,-0.21020372,-0.13238654,0.020290986,0.00010028318,0.00017251832,-0.12311694
2022-01-01 00:00:36,0.015539346,-0.14635165,-0.024181094,0.015220447,-0.09260797,0.08231127,-0.026389852,-0.15772267,-0.08508293,0.099294774,-0.042930175,0.18708457,0.08987728,-0.02262608,-0.1836925,0.19585362,0.08477698,-0.17294508,-0.08241559,-0.027709626,0.058383487,-0.0129847415,0.14760013,0.13643874,-0.13262792,0.047651626,-0.20503983,-0.12642705,0.022762315,-0.008679392,-0.01287731,-0.12740377
